name,description,binding,readonly,enabled,hidden,options
e#ace#default#selectOrFindPrevious,Select or Find Previous,"[[u'alt+shift+k'], [u'ctrl+shift+g']]",True,True,False,{u'ace': True}
e#ace#default#find,Find,"[[u'ctrl+f'], [u'command+f']]",True,False,True,{u'ace': True}
e#ace#default#overwrite,Overwrite,"[[u'insert'], [u'insert']]",True,True,False,{u'ace': True}
e#ace#default#selecttostart,Select Lines Above the Current Line,"[[u'ctrl+shift+home'], [u'command+shift+up']]",True,True,False,{u'ace': True}
e#ace#default#gotostart,Move to the Beginning of File,"[[u'ctrl+home'], [u'command+home', u'command+up']]",True,True,False,{u'ace': True}
e#ace#default#selectup,Select the Line Above,"[[u'shift+up'], [u'shift+up']]",True,True,False,{u'ace': True}
e#ace#default#golineup,Move Up,"[[u'up'], [u'up', u'ctrl+p']]",True,True,False,{u'ace': True}
e#ace#default#selecttoend,Select Lines Below the Current Line,"[[u'ctrl+shift+end'], [u'command+shift+down']]",True,True,False,{u'ace': True}
e#ace#default#gotoend,Move to the End of File,"[[u'ctrl+end'], [u'command+end', u'command+down']]",True,True,False,{u'ace': True}
e#ace#default#selectdown,Select the Line Below,"[[u'shift+down'], [u'shift+down']]",True,True,False,{u'ace': True}
e#ace#default#golinedown,Move Down,"[[u'down'], [u'down', u'ctrl+n']]",True,True,False,{u'ace': True}
e#ace#default#selectwordleft,Select the Word Before Cursor,"[[u'ctrl+shift+left'], [u'option+shift+left']]",True,True,False,{u'ace': True}
e#ace#default#gotowordleft,Move Backward a Word,"[[u'ctrl+left'], [u'option+left']]",True,True,False,{u'ace': True}
e#ace#default#selecttolinestart,Select Text Before Cursor,"[[u'alt+shift+left'], [u'command+shift+left']]",True,True,False,{u'ace': True}
e#ace#default#gotolinestart,Move to The Beginning of the Line,"[[u'alt+left', u'home'], [u'command+left', u'home', u'ctrl+a']]",True,True,False,{u'ace': True}
e#ace#default#selectleft,Select to the Left,"[[u'shift+left'], [u'shift+left']]",True,True,False,{u'ace': True}
e#ace#default#gotoleft,Move Left,"[[u'left'], [u'left', u'ctrl+b']]",True,True,False,{u'ace': True}
